Hip ID,Gaia Source ID,Hip RA,Gaia RA,Hip Dec,Gaia Dec,Hip pmRA,Gaia pmRA,Hip pmDE,Gaia pmDE,Hip Vmag,Gaia Gmag,Gaia Parallax
HIP8275,Gaia DR2 2575383100738086656,26.661249999999995,26.661460593910512,12.411666666666667,12.411451281983775,0.03,31.211763290843905,-0.08,-74.8730163233131,8.91,8.538995,41.56544593944975
HIP12832,Gaia DR2 25792554218535296,41.239999999999995,41.24046108482011,12.445555555555556,12.445384591685789,0.12,121.37045225469706,-0.08,-86.18309933922008,5.17,5.093982,25.800656134179643
HIP21589,Gaia DR2 3306483944376792832,69.53958333333331,69.53988625855982,12.510555555555555,12.51077298837807,0.1,104.91173523686312,-0.01,-13.488126810296805,4.27,4.1884312999999995,22.63737861213417
HIP95730,Gaia DR2 4316214125587568896,292.0641666666666,292.06391523843035,12.535833333333333,12.535729669684008,-0.05,-52.97301890827417,-0.04,-39.898352796106906,9.17,8.828864999999999,34.57236706995737
HIP102805,Gaia DR2 1760960887992601984,312.40749999999997,312.4075965836745,12.545,12.545545261578653,0.05,52.74090942876441,0.1,97.18646563887337,6.01,5.8723454,32.92090415801191
HIP83613,Gaia DR2 4544196074866779904,256.3445833333333,256.34476426101645,12.740833333333333,12.74077643926894,0.05,49.80456907171806,-0.01,-12.029571340216133,4.89,4.8128695,24.3966929401717
HIP35872,Gaia DR2 3163201979956736000,110.94624999999999,110.94648164730958,12.964444444444444,12.962888905296435,0.08,84.36700053614838,-0.43,-425.07330127608185,8.19,7.8891067999999995,41.56803179777458
HIP69989,Gaia DR2 1226844321337777536,214.81791666666663,214.81829710486275,13.004166666666666,13.004166485190368,0.11,105.27264716592673,-0.03,-31.388785869820556,5.41,5.265028,38.12620021397247
HIP40375,Gaia DR2 650337664425397632,123.64958333333331,123.64778335432487,13.022777777777778,13.023245606406837,-0.42,-420.8247945525228,0.1,97.4171390566304,8.79,8.340404,52.11850851886506
HIP20901,Gaia DR2 3307650109600736000,67.20916666666666,67.20947489647736,13.0475,13.047537872988825,0.11,103.86583752798546,-0.02,-15.423356851871777,5.02,4.951238,20.58874804148572
HIP77801,Gaia DR2 1191518146611956096,238.30041666666665,238.2997388157272,13.196388888888889,13.194209896683953,-0.15,-150.42961610934938,-0.56,-560.4564455053084,6.07,5.911080999999999,57.58300760978782
HIP47513,Gaia DR2 614543647497149056,145.29333333333332,145.29024900047432,13.209444444444443,13.20894579924973,-0.66,-660.0606716714248,-0.14,-143.2262098225495,10.3,9.437152000000001,86.55223114136452
HIP21036,Gaia DR2 3307782570688378496,67.65583333333332,67.6561511367137,13.724166666666667,13.724319458651474,0.11,106.87102229820006,-0.02,-19.354278158795122,5.4,5.326475,21.347035306722194
HIP72146,Gaia DR2 1185619988280226944,221.35083333333333,221.3497346528636,13.846111111111112,13.845343544859114,-0.23,-231.63361693283304,-0.23,-225.77712086696286,7.87,7.583612400000001,53.15666261604893
HIP112870,Gaia DR2 2720132500864789760,342.85999999999996,342.86162888675995,13.969722222222222,13.970855444632072,0.4,406.13063432735186,0.2,202.620257607484,8.29,8.018499,44.35781678209894
HIP20219,Gaia DR2 3310634944368705664,64.99041666666665,64.99094772725788,14.035,14.035122317501054,0.12,115.38452777598373,-0.02,-19.299417081481646,5.58,5.497301,21.97475518334599
HIP68030,Gaia DR2 1230894097540611968,208.95833333333331,208.95701552369087,14.05638888888889,14.056539630951393,-0.29,-290.89437630072024,0.01,8.495247596412142,6.16,6.0188065,40.86226204721271
HIP40910,Gaia DR2 652005932802958976,125.23041666666667,125.23016638308223,14.071111111111112,14.070205519654216,-0.08,-83.87436167290466,-0.26,-261.9032515877094,9.75,9.216841,44.0229124737569
HIP56242,Gaia DR2 3966121308211393920,172.9370833333333,172.93580129031642,14.364444444444445,14.36368524966157,-0.33,-330.2789570630501,-0.19,-190.08117131003704,6.27,6.117473,42.26186255826102
HIP100511,Gaia DR2 1805044913356835328,305.7183333333333,305.7185565027894,14.550833333333333,14.551066841294189,0.08,78.89956694794125,-0.01,-6.860252279002564,6.16,6.0215825999999995,38.484349051384186
HIP36551,Gaia DR2 3165287719154543232,112.78208333333332,112.78246951010355,14.613888888888889,14.612893261968205,0.07,75.88788180486767,-0.29,-290.3684251458505,8.94,8.532446,48.19269382961553
HIP107350,Gaia DR2 1772187382746856320,326.13041666666663,326.13157051887043,14.771944444444445,14.771452436101356,0.23,231.08615099763838,-0.11,-113.1335015902468,5.96,5.8108864,55.16312567869696
HIP21273,Gaia DR2 3309419984020071552,68.46208333333333,68.46261629353143,14.844166666666668,14.844323075636645,0.1,101.53811524080228,-0.03,-24.090445626631457,4.65,4.544803,22.6702788153328
HIP67155,Gaia DR2 3741297293732404352,206.43249999999998,206.44031057508028,14.891388888888889,14.885254807068545,1.78,1776.0188223360144,-1.46,-1455.1841955283178,8.46,7.6067557,183.98355615503044
HIP20261,Gaia DR2 3311883817778820480,65.15124999999999,65.15177676579246,15.095277777777778,15.095361646587934,0.11,109.03789341294468,-0.02,-21.307274141188834,5.26,5.179711,21.339083041649253
HIP99742,Gaia DR2 1808282768947879808,303.5691666666666,303.56949209346106,15.1975,15.197854129180415,0.06,55.141617122495326,0.06,58.071743764400566,4.94,4.895914,20.84636489503807
HIP43970,Gaia DR2 610526719204475136,134.3120833333333,134.31256151262446,15.3225,15.32285447217962,0.06,60.336519508349845,0.02,19.748351722023425,5.22,5.1769867,20.66063092734901
HIP5110,Gaia DR2 2783518418493208832,16.37458333333333,16.374679623145322,15.389999999999999,15.389201636271634,0.01,7.806659692294692,-0.2,-198.85015832642327,8.66,8.763748,36.647039435364775
HIP70865,Gaia DR2 1229089524081628416,217.37374999999997,217.3690255216879,15.5325,15.538233630281567,-1.05,-1054.7298672206275,1.3,1299.4852993380778,10.6,9.723289,70.17737731961125
HIP28954,Gaia DR2 3345968334645285376,91.66874999999999,91.66811909667065,15.541944444444445,15.541659632477591,-0.12,-120.63720503715244,-0.1,-103.51897269503208,6.76,6.5241675,63.36835252175979
HIP44001,Gaia DR2 610549499710989440,134.39666666666665,134.39693377279306,15.581111111111111,15.581374359612406,0.06,60.43994565580254,0.02,20.509005005748428,5.68,5.632935,20.491435477536694
HIP78072,Gaia DR2 1193030490492925824,239.11333333333332,239.11465296647597,15.661388888888888,15.656090922735993,0.31,310.8969608941711,-1.28,-1281.4117997319595,3.85,3.620162,89.46022301413072
HIP21039,Gaia DR2 3312628358950130176,67.66208333333333,67.66250080745456,15.691666666666666,15.691773031752883,0.1,103.42748885367624,-0.02,-24.494771245538157,5.47,5.4101787,21.355785938487664
HIP13258,Gaia DR2 33439176553394048,42.653749999999995,42.65525610350896,15.709722222222222,15.708212243158073,0.34,342.43338794372073,-0.4,-395.5016037851078,8.87,8.479485,42.764736953376676
HIP54459,Gaia DR2 3969552574763799808,167.13249999999996,167.13303455256926,15.7675,15.765998548834336,0.16,154.63953621769772,-0.38,-376.08979161320315,9.75,9.293147,35.48316433573829
HIP102531,Gaia DR2 1763000482062205056,311.66208333333327,311.66186853810484,16.12388888888889,16.123249954270342,-0.01,-11.153160240268031,-0.2,-203.34107950391038,5.15,4.9879739999999995,28.406815368600594
HIP102532,Gaia DR2 1763000413341086464,311.66458333333327,311.6644461541956,16.124166666666667,16.123443598742217,-0.03,-29.85056350842483,-0.2,-196.05802873190686,4.27,3.9264817,28.518334524270717
HIP99452,Gaia DR2 1809360187271699584,302.7754166666667,302.7734474732448,16.18777777777778,16.18971378827974,-0.41,-414.6643975895633,0.4,398.48032633876574,7.34,7.0999875,48.85173926559829
HIP21029,Gaia DR2 3312849326426255616,67.63999999999999,67.64060589162723,16.19388888888889,16.193904215762856,0.1,104.42228244912613,-0.03,-26.254033279575125,4.78,4.7065477,22.03573379595043
HIP13601,Gaia DR2 34959010860594176,43.8225,43.8234397391521,16.309166666666666,16.308989670523975,0.2,204.3159551477507,-0.05,-46.601164665464786,7.41,7.2102356,37.22492060003717
HIP72237,Gaia DR2 1234693112077610880,221.5970833333333,221.5965220394796,16.496666666666666,16.492729215598665,-0.11,-108.63724373637291,-0.92,-922.0163069598116,9.23,8.710161,56.320803206408755
HIP35350,Gaia DR2 3168265196643176832,109.52333333333333,109.52303862754744,16.540277777777778,16.540230717750458,-0.05,-47.17534886273469,-0.04,-36.50677146610128,3.58,3.4302926,35.473450483687984
HIP92573,Gaia DR2 4510987662629223424,282.9633333333333,282.96224947626274,16.583055555555557,16.581208217650744,-0.23,-226.07087690191793,-0.48,-481.63935647200236,10.1,9.37963,65.76387443777385
HIP17405,Gaia DR2 43335537119008896,55.93833333333333,55.9392323792583,16.66722222222222,16.665933301572412,0.16,156.2147192429752,-0.31,-310.2912499130825,10.8,9.917213,58.0070385849691
HIP17414,Gaia DR2 43335880716390784,55.96916666666666,55.969727317338496,16.671944444444446,16.670667262822366,0.16,157.94518741851266,-0.32,-316.32593743308763,9.99,9.214379,58.109739399682034
HIP99316,Gaia DR2 1809456806859123584,302.39291666666657,302.3929430135805,16.805555555555557,16.80652232358885,0.0,2.8234031382674765,0.18,175.82805316176717,7.56,7.459085000000001,40.27628876555663
HIP5369,Gaia DR2 2784924659505377280,17.16833333333333,17.16789728666671,17.2425,17.240085477709048,-0.06,-58.91613751527526,-0.58,-584.036642742584,10.5,9.988432000000001,34.96706605104741
HIP25220,Gaia DR2 3394298532176344960,80.91,80.91104657791804,17.323888888888888,17.324092292102858,0.25,250.9998384593589,0.0,-5.777972632156062,7.93,7.536028999999999,68.65947773941132
HIP25278,Gaia DR2 3400292798990117888,81.10624999999999,81.10722709354131,17.383333333333333,17.38350429150057,0.25,250.76471341786782,-0.01,-7.331805877222585,5.0,4.808277599999999,68.56277931766506
HIP92311,Gaia DR2 4511416609607124352,282.21624999999995,282.2142864040735,17.43888888888889,17.437126419104978,-0.41,-408.9374522167112,-0.42,-422.8883881718843,9.17,8.604966000000001,59.95378965175668
HIP20542,Gaia DR2 3313978112552491136,66.02416666666666,66.02450502015765,17.44388888888889,17.443989725755902,0.11,110.76582115224562,-0.03,-33.16823293151734,4.8,4.7244779999999995,21.66971159169791
HIP31635,Gaia DR2 3359074685047632640,99.295,99.29154286526241,17.564722222222223,17.566269571861948,-0.78,-764.5215743820802,0.33,337.8016408878153,9.63,8.876039,99.9163794341835
HIP106106,Gaia DR2 1784473016438653056,322.4033333333333,322.4079331349824,17.643055555555556,17.644925208123574,1.01,1007.0167080301984,0.38,378.7773555130868,10.3,9.100759,147.6126435927061
HIP67090,Gaia DR2 1244644727396803584,206.27124999999998,206.27320907698535,17.78527777777778,17.77754258094142,0.45,450.84200869213447,-1.83,-1833.188599238293,9.79,9.105953,77.44707209554362
HIP20648,Gaia DR2 3314063977537054208,66.3725,66.37292139209056,17.92777777777778,17.927773011460427,0.11,109.64518000672828,-0.03,-30.806134750908342,4.3,4.262473,22.194704125402318
HIP84195,Gaia DR2 4548462729742343296,258.15666666666664,258.15722233418643,18.351111111111113,18.35069144534413,0.1,101.78897671138873,-0.12,-116.89327274686359,7.95,7.6656455999999995,47.97428774510991
HIP112496,Gaia DR2 2833330968155957888,341.8066666666667,341.80784900999373,18.384444444444444,18.38488228714208,0.25,251.85512479783668,0.09,88.83586440586633,9.02,8.651104,37.309396244386036
HIP109555,Gaia DR2 1776317182780536064,332.87541666666664,332.8768854701399,18.426111111111112,18.42697353394197,0.33,329.19822590229,0.18,180.81822511457446,10.2,9.253283999999999,85.28830592103594
HIP87768,Gaia DR2 4503423641091793152,268.9370833333333,268.9368648477108,18.50027777777778,18.500180617237607,-0.05,-46.48361965222485,-0.05,-47.416867719037455,9.22,8.732648,44.35955901447269
HIP86287,Gaia DR2 4550763526539955712,264.47249999999997,264.4764878394471,18.591666666666665,18.59595094605788,0.93,926.7411065535204,0.98,984.6966128909216,9.62,8.73899,122.56089218888776
HIP3998,Gaia DR2 2788907296779604864,12.840833333333332,12.840884657544803,18.739166666666666,18.738091660457552,0.05,53.33611724234423,-0.27,-268.4732734635452,9.22,8.756276,44.954586578672206
HIP57866,Gaia DR2 3975078892003894144,178.0345833333333,178.03487181773528,18.755,18.753878049272853,0.03,29.26090056051955,-0.3,-302.97994169391444,8.4,8.143862,37.39658978970989
HIP75277,Gaia DR2 1209182041427374080,230.69499999999996,230.69409493915342,18.91888888888889,18.91929441603288,-0.23,-229.8911563081455,0.08,77.4759345373293,7.16,6.9429564,50.64091819087443
HIP110951,Gaia DR2 2738145555048846080,337.19124999999997,337.1921692102889,18.93166666666667,18.931147150003653,0.17,167.37598335846448,-0.13,-127.66189515198091,10.7,10.009292,44.898398754343866
HIP21932,Gaia DR2 3409711211681795584,70.7325,70.73538532921677,18.958055555555553,18.953357960442425,0.66,656.3779037902605,-1.11,-1116.501501220768,9.95,8.999554,105.56270817808243
HIP29650,Gaia DR2 3374052988354372992,93.71208333333333,93.71154017980469,19.156388888888888,19.15566195554782,-0.1,-96.78489264713018,-0.18,-182.42607002619246,5.2,5.0466604,47.890508471060286
HIP6706,Gaia DR2 2786203082290674048,21.56375,21.563475825461158,19.172222222222224,19.17239600706444,-0.03,-26.05601397118952,0.01,11.034319133565765,5.35,5.2130895,39.07239925102025
HIP50564,Gaia DR2 624684408880100992,154.93416666666664,154.93297695051987,19.47083333333333,19.469991332088014,-0.23,-230.6921948876673,-0.21,-214.9515548712321,4.78,4.626854,47.95927565281194
HIP24284,Gaia DR2 3407785622839603968,78.17583333333333,78.17722133589461,19.665555555555553,19.666691855955666,0.28,279.33439685029475,0.24,240.9240274775311,10.8,9.81049,82.25873411543853
HIP102040,Gaia DR2 1814241194252808704,310.18791666666664,310.1886300516202,19.935277777777777,19.936880498400733,0.12,118.65525887514521,0.31,312.34062114985835,6.43,6.2685010000000005,47.849975028598
HIP53954,Gaia DR2 3985219996984723712,165.58249999999998,165.5823534856925,20.179722222222225,20.180010238558413,-0.01,-10.272652036150618,0.04,38.67494048004526,4.42,4.3587112,26.301112775529123
HIP12097,Gaia DR2 87921523897823872,38.97208333333333,38.97325875235508,20.21972222222222,20.219279763542325,0.25,249.92877971886745,-0.14,-140.40013829809305,10.6,9.706053,71.16068621742524
HIP106897,Gaia DR2 1786774019397408768,324.75499999999994,324.7555138280176,20.26527777777778,20.265445672779673,0.12,122.25533964092337,0.0,-0.8426439743308168,5.77,5.6907573,25.422279870945736
HIP7981,Gaia DR2 96331172942614528,25.624166666666664,25.622630322546954,20.26833333333333,20.26561262177044,-0.3,-301.59179932944244,-0.68,-674.5047265680485,5.24,4.969711,131.49034290979608
HIP38082,Gaia DR2 672091364541849344,117.06833333333331,117.07493371800055,20.368055555555557,20.363853427054686,1.45,1449.8824083516067,-0.99,-992.2389340316923,11.4,10.551592999999999,68.03463451790034
HIP92043,Gaia DR2 4530744134230193280,281.4154166666666,281.4154817643126,20.546111111111113,20.544863943434493,-0.01,-6.62137780941023,-0.34,-335.82175796437303,4.19,4.029599,51.128152046676256
HIP44072,Gaia DR2 684865658135318144,134.65916666666664,134.66209349516615,20.546666666666667,20.54600976062749,0.66,654.9635242996069,-0.17,-172.08840991381047,9.22,8.774686,47.54790821349643
HIP19990,Gaia DR2 49298394834276608,64.31541666666665,64.31506889390926,20.578333333333333,20.57834118778197,-0.04,-41.559727559326454,-0.06,-59.41524889262534,4.93,4.850283599999999,34.11509060929389
HIP13834,Gaia DR2 108421608959951488,44.52166666666667,44.5228321216185,20.66861111111111,20.668597849840697,0.23,233.96153130215959,-0.03,-31.293946119837408,5.8,5.679541599999999,30.623708802330004
HIP102226,Gaia DR2 1817769836303393280,310.70583333333326,310.70529512176586,20.844444444444445,20.843090565743857,-0.08,-80.9748459126119,-0.35,-353.05126747597,8.26,7.985728699999999,40.333928143373114
HIP93899,Gaia DR2 4519789081415296128,286.805,286.80280110672766,20.876944444444444,20.875584610616702,-0.48,-480.68757279750696,-0.33,-332.343580951991,10.7,9.794255999999999,113.20627126162573
HIP21818,Gaia DR2 3411339626673664000,70.32875,70.32748371951253,20.90138888888889,20.900418047106694,-0.23,-234.37837354658595,-0.25,-254.38650405923855,8.09,7.5258803,75.53954658156914
HIP108028,Gaia DR2 1781003885454165888,328.2725,328.2722809769811,20.93027777777778,20.930086277428998,-0.01,-5.205703927084611,-0.1,-100.49578059248472,8.18,7.9014606,42.9158298129868
HIP114189,Gaia DR2 2832463659640297472,346.8695833333333,346.8701486327882,21.134166666666665,21.134037553026428,0.11,108.30110334348812,-0.05,-49.480363081108855,5.97,5.898486,24.21751423272328
HIP10306,Gaia DR2 99495498687738624,33.20041666666667,33.20111403543981,21.210833333333333,21.21101529732918,0.16,163.91717995797967,0.0,5.000093522947994,5.23,5.0749035000000005,33.33830598658803
HIP3093,Gaia DR2 2802397960855105920,9.840833333333332,9.838721751561232,21.25027777777778,21.248884439172127,-0.46,-462.05586310910627,-0.37,-369.81419786206254,5.88,5.6349735,89.78913011596279
HIP87579,Gaia DR2 4576863905365412736,268.3745833333333,268.3743942631701,21.325277777777778,21.325540835451648,-0.07,-73.26645583897115,0.06,57.87498978216714,8.5,8.19899,40.781996356615075
HIP42806,Gaia DR2 664950414475977728,130.82125,130.82095731557757,21.46833333333333,21.468330443009126,-0.11,-105.53571964442148,-0.04,-40.11618527465994,4.66,4.6081915,19.651631004775915
HIP83762,Gaia DR2 4568060562432051584,256.78125,256.7790626666853,21.55388888888889,21.553909697520112,-0.47,-463.4036174049922,-0.03,-25.438653819530654,11.6,10.554942,71.16251523866653
HIP23497,Gaia DR2 3409207536188836352,75.77374999999999,75.77425582871433,21.58972222222222,21.589784786881445,0.07,68.24091008580268,-0.04,-41.318670367958,4.62,4.555233,18.4193566366185
HIP20842,Gaia DR2 145391484855481344,67.00333333333332,67.00371134679743,21.619722222222222,21.61972151814295,0.1,96.61481814693244,-0.04,-42.26153959758373,5.72,5.6432056,19.97672659121268
HIP90139,Gaia DR2 4529285391522200320,275.9245833333333,275.9254491025025,21.76972222222222,21.76870525491716,0.2,196.0272713487269,-0.24,-241.70921627092153,3.85,3.3893391999999998,27.45785341104016
HIP96183,Gaia DR2 2018474482692959232,293.3566666666666,293.356369818566,21.840277777777775,21.839440848226555,-0.02,-21.43177181611181,-0.2,-205.6185023126174,6.89,6.692283,47.851982370021155
HIP41130,Gaia DR2 676273597540164096,125.87874999999998,125.88018305374722,21.849166666666665,21.848300198852698,0.3,298.29617967277363,-0.24,-245.59749257009202,9.52,9.040588,39.732706974766586
HIP20917,Gaia DR2 145421309108301184,67.25041666666665,67.25020492181162,21.9225,21.923451047346216,-0.07,-66.93400725509287,0.18,174.50026826452248,8.3,7.6999955,88.96217457218262
HIP53985,Gaia DR2 3988689609004982912,165.65958333333333,165.66042121988838,21.966944444444444,21.966916438375588,0.14,142.84909210842176,-0.05,-51.95524995677388,9.57,8.807002,83.77649268498531
HIP35550,Gaia DR2 866177431953646464,110.03083333333332,110.03059850242715,21.98222222222222,21.982240125880548,-0.02,-31.20270057754561,-0.01,-15.506229952170141,3.5,3.3361542,57.74005017571807
HIP19076,Gaia DR2 53112944270520832,61.33458333333332,61.33520829695846,22.00888888888889,22.00834244995069,0.17,171.8665785559274,-0.13,-130.52520749144128,5.9,5.7423496,59.189538770696146
HIP72044,Gaia DR2 1241547437501423872,221.04999999999998,221.049971567037,22.185277777777777,22.1858334516718,0.0,2.091155778171196,0.12,118.56614469366772,9.89,9.409948,36.58590993096414
HIP20641,Gaia DR2 145484629809228544,66.35416666666667,66.35475274052254,22.199722222222224,22.19979794375175,0.11,110.9700138628504,-0.05,-47.30640222307553,5.27,5.194479,22.142920406163164
HIP20635,Gaia DR2 145674574739951872,66.3425,66.34283716887137,22.29361111111111,22.293679653133324,0.11,101.02849970678015,-0.04,-44.47316716571636,4.21,4.1130867,21.487050181588497
HIP90959,Gaia DR2 4535144998232287232,278.32416666666666,278.3231798429726,22.31416666666667,22.31221850334586,-0.18,-176.32330334571782,-0.47,-472.59772489505053,8.9,8.49167,42.74810882626645
HIP103441,Gaia DR2 1838855376946302720,314.3558333333333,314.35923262360006,22.3625,22.36180619361567,0.77,769.8206836565013,-0.21,-213.2744328373239,11.9,11.002799000000001,69.31115907296186
HIP33537,Gaia DR2 3379989457790428416,104.54916666666666,104.54918396376782,22.47583333333333,22.476304525880398,0.05,48.30239212780272,0.1,97.55501078913635,6.94,6.757162599999999,40.14139374024968
HIP56238,Gaia DR2 3980560507224374400,172.9308333333333,172.92807537790932,22.666944444444447,22.667281162765487,-0.58,-584.5901151128243,0.03,32.85457724949869,10.3,9.466637,63.191026431293366
HIP47201,Gaia DR2 641154096631794432,144.29708333333332,144.2965453193035,22.69388888888889,22.693375980244546,-0.15,-151.2138650949629,-0.18,-178.01148420461013,9.43,8.907210000000001,44.34757932616906
HIP98505,Gaia DR2 1827242816201846144,300.1820833333333,300.1821222828535,22.710833333333333,22.70977592457137,0.0,-3.2944532620182163,-0.25,-250.22469739167667,7.67,7.4143229999999996,50.568472445091096
HIP53767,Gaia DR2 3988987164339438208,165.01791666666665,165.01574294498658,22.83277777777778,22.83174148145553,-0.43,-426.9243717741351,-0.28,-282.4106173445807,10.0,8.969822,148.12830339335176
HIP68337,Gaia DR2 1250801855073489280,209.83083333333332,209.8300946366701,22.869722222222222,22.869806845626787,-0.16,-160.8678908781637,0.01,12.927250399343214,9.05,8.620107,42.015278165465055
HIP5286,Gaia DR2 2791782794564103808,16.907916666666665,16.908291923804754,22.954722222222223,22.95286845275066,0.1,103.06987883123814,-0.49,-490.3146863228652,8.41,8.0279665,48.68709128527585
HIP85157,Gaia DR2 4569194055841164160,261.0275,261.02724281955847,22.96,22.96011848539217,-0.04,-43.520570598357075,-0.04,-37.919607593503095,5.7,5.655158999999999,23.39357698616109
HIP50384,Gaia DR2 725398123501434496,154.31041666666664,154.30864142240904,23.10611111111111,23.10579563796028,-0.41,-413.2143785822388,-0.1,-98.26934902072773,5.81,5.663851999999999,44.77941891971699
HIP400,Gaia DR2 2848150288954631296,1.2345833333333331,1.2364660539064845,23.269444444444442,23.269597394229308,0.38,382.5483042021308,-0.01,-7.273148015050401,7.82,7.6115594,37.92464739004056
HIP106231,Gaia DR2 1797276382668029440,322.75708333333324,322.7577730841873,23.335277777777776,23.33475789263493,0.13,134.53112715826285,-0.14,-144.6737839270961,9.23,8.85465,41.24455001502652
HIP98792,Gaia DR2 1833199729671740800,300.9670833333333,300.9624874808115,23.340555555555554,23.33675620903425,-1.0,-1004.1387965190806,-0.91,-912.5400325569092,7.28,7.0202327,64.03068289390093
HIP112918,Gaia DR2 2837037662371901184,343.01041666666663,343.01111393050644,23.413055555555555,23.4125763598549,0.13,131.54291313705434,-0.15,-153.7371597707793,9.79,9.311869999999999,35.7555434975921
HIP92270,Gaia DR2 4532560355639207680,282.0683333333333,282.0684634218992,23.514722222222222,23.51471758314721,0.03,25.257448459024268,-0.01,-7.026881862526059,6.19,6.049591,33.82407823932108
HIP9153,Gaia DR2 104716907609412352,29.482083333333332,29.48171959226141,23.59583333333333,23.596005933020074,-0.09,-92.70784333995131,-0.01,-14.242879508823435,4.79,4.6579227,24.939403183154397
HIP70529,Gaia DR2 1254695603704323712,216.43124999999995,216.43486964595752,23.616944444444446,23.6122739296525,0.79,792.5480677673526,-1.12,-1116.6007102154454,9.77,9.006602,61.1782615686171
HIP70536,Gaia DR2 1254694882149817728,216.4445833333333,216.44811293295365,23.62027777777778,23.61565719517289,0.8,793.4874618415349,-1.12,-1119.0100570054146,9.98,9.199808,61.202876364167274
HIP72567,Gaia DR2 1265976524286377856,222.5658333333333,222.56655915905998,23.911666666666665,23.91197917624774,0.14,144.58296964086287,0.03,31.730708373968483,5.86,5.7153625,54.90679116115835
HIP32010,Gaia DR2 3382815271394515072,100.31541666666665,100.3164327604247,23.9575,23.95652466629766,0.21,205.82334269982587,-0.28,-276.74583590739775,8.08,7.7333419999999995,57.888872455766
HIP9829,Gaia DR2 104453918172129792,31.62583333333333,31.626043555271245,24.333888888888886,24.333355982572943,0.01,6.091000830115195,-0.15,-147.7770589873902,6.89,6.7184815,42.0086502701039
HIP84379,Gaia DR2 4573412435276520320,258.75791666666663,258.7578602694189,24.839166666666664,24.838528411294227,-0.02,-22.79426849798944,-0.16,-156.52197252085372,3.12,3.0274317,42.871819884522345
HIP62523,Gaia DR2 3957887649746830976,192.19583333333333,192.1944449457189,24.84,24.839773094647732,-0.33,-335.0033981766643,-0.11,-105.62298863523543,6.29,6.0983057,58.48089453675102
HIP73996,Gaia DR2 1264630412816366720,226.82541666666665,226.82615129468738,24.86916666666667,24.86848696167738,0.18,184.76672031605113,-0.16,-164.01219197103845,4.93,4.757479,51.66743878315764
HIP5957,Gaia DR2 294517800251711616,19.164166666666663,19.16603779079852,25.33138888888889,25.33103576936761,0.43,429.06292444799925,-0.1,-102.73553072454351,10.1,9.471255000000001,41.686713108344954
HIP109176,Gaia DR2 1891598193815850624,331.75291666666664,331.75418028319814,25.345,25.345217126902863,0.3,298.42039937900347,0.03,26.160889625219113,3.77,3.551135,84.76374061349556
HIP33277,Gaia DR2 3381727613874753536,103.82791666666665,103.82759741657641,25.375555555555557,25.375799743584498,-0.04,-37.88239550523637,0.03,24.211234235438877,5.74,5.5839877,57.242539059321615
HIP12781,Gaia DR2 114207651462714880,41.064583333333324,41.06874874637153,25.523333333333333,25.521801507426662,0.86,864.8122736078319,-0.37,-363.3426080765864,10.5,9.460459,130.1870362110181
HIP54906,Gaia DR2 3997075206232885888,168.6383333333333,168.6376583690396,25.710277777777776,25.710596159037603,-0.11,-107.5336191247358,0.05,48.66175655410407,7.76,7.513602000000001,46.349436311532386
